"","AAV2020","CODGEO","LIBAAV2020","CATEAAV2020","DEP","REG","TAAV2017","TDAAV2017","NB_COM"
"1","000","01002","Commune hors attraction des villes","30","01","84","0","00",8932
"2","000","76280","Commune hors attraction des villes","30","76","28","0","00",8932
"3","000","34284","Commune hors attraction des villes","30","34","76","0","00",8932
"4","000","54253","Commune hors attraction des villes","30","54","44","0","00",8932
"5","000","30031","Commune hors attraction des villes","30","30","76","0","00",8932
"6","000","54259","Commune hors attraction des villes","30","54","44","0","00",8932
"7","000","76286","Commune hors attraction des villes","30","76","28","0","00",8932
"8","000","01010","Commune hors attraction des villes","30","01","84","0","00",8932
"9","000","10155","Commune hors attraction des villes","30","10","44","0","00",8932
"10","000","34291","Commune hors attraction des villes","30","34","76","0","00",8932
"11","000","54251","Commune hors attraction des villes","30","54","44","0","00",8932
"12","000","34289","Commune hors attraction des villes","30","34","76","0","00",8932
"13","000","85278","Commune hors attraction des villes","30","85","52","0","00",8932
"14","000","76293","Commune hors attraction des villes","30","76","28","0","00",8932
"15","000","27643","Commune hors attraction des villes","30","27","28","0","00",8932
"16","000","76295","Commune hors attraction des villes","30","76","28","0","00",8932
"17","000","60545","Commune hors attraction des villes","30","60","32","0","00",8932
"18","000","85286","Commune hors attraction des villes","30","85","52","0","00",8932
"19","000","27649","Commune hors attraction des villes","30","27","28","0","00",8932
"20","000","01028","Commune hors attraction des villes","30","01","84","0","00",8932
"21","000","10167","Commune hors attraction des villes","30","10","44","0","00",8932
"22","000","34303","Commune hors attraction des villes","30","34","76","0","00",8932
"23","000","67165","Commune hors attraction des villes","30","67","44","0","00",8932
"24","000","01017","Commune hors attraction des villes","30","01","84","0","00",8932
"25","000","01019","Commune hors attraction des villes","30","01","84","0","00",8932
"26","000","76306","Commune hors attraction des villes","30","76","28","0","00",8932
"27","000","60555","Commune hors attraction des villes","30","60","32","0","00",8932
"28","000","54282","Commune hors attraction des villes","30","54","44","0","00",8932
"29","000","01037","Commune hors attraction des villes","30","01","84","0","00",8932
"30","000","54284","Commune hors attraction des villes","30","54","44","0","00",8932
